#ip	system	qid	count
150.244.199.99	duckduckgo	2	2
150.244.199.121	google	3	3
150.244.199.158	google+bing	5	1
150.244.199.72	google	6	9
150.244.199.121	duckduckgo	7	1
150.244.199.236	duckduckgo	9	2
150.244.199.162	google+bing	11	1
150.244.199.192	duckduckgo	12	5
150.244.199.119	google	13	5
150.244.199.144	google	14	6
150.244.199.158	ask	17	1
150.244.199.10	google+bing	18	6
150.244.199.99	google+bing	20	1
150.244.199.133	ask	22	10
150.244.199.158	google+bing	23	3
150.244.199.163	google	24	3
150.244.199.56	google+bing	25	3
150.244.199.182	google	27	3
150.244.199.182	google+bing	28	1
150.244.199.100	duckduckgo	36	2
37.10.149.120	duckduckgo	38	1
150.244.199.72	ask	41	4
150.244.199.158	google	42	3
150.244.199.243	google+bing	44	4
150.244.199.236	google+bing	45	1
150.244.199.163	google	46	4
195.135.248.133	duckduckgo	47	4
150.244.199.32	duckduckgo	48	1
95.127.170.164	duckduckgo	49	1
150.244.199.56	ask	50	1
150.244.199.162	duckduckgo	51	2
176.83.89.89	google	53	4
150.244.199.10	duckduckgo	54	3
150.244.199.56	bing	56	1
150.244.199.144	google	57	2
150.244.199.137	ask	58	3
95.127.170.164	google+bing	59	1
37.10.149.120	google+bing	60	1
150.244.199.56	google	61	1
150.244.199.144	google	63	5
150.244.199.236	google	64	1
150.244.199.121	google+bing	65	4
150.244.199.154	google+bing	67	4
150.244.199.158	google	68	1
95.127.170.164	google+bing	69	1
176.83.89.89	google+bing	70	2
150.244.199.162	duckduckgo	71	1
150.244.199.100	duckduckgo	72	2
150.244.199.10	duckduckgo	73	1
95.127.170.164	google+bing	74	1
150.244.199.239	google+bing	75	6
195.135.248.133	google+bing	81	1
150.244.199.192	duckduckgo	83	3
150.244.199.236	google	85	1
150.244.199.10	duckduckgo	86	1
150.244.199.158	google+bing	87	6
150.244.199.154	ask	89	2
150.244.199.54	google+bing	91	8
150.244.199.72	duckduckgo	92	2
150.244.199.182	duckduckgo	93	2
150.244.199.56	ask	94	1
95.127.170.164	duckduckgo	96	3
176.83.89.89	google	97	4
150.244.199.97	google	99	2
150.244.199.236	google	100	1
195.135.248.133	duckduckgo	101	4
150.244.199.10	duckduckgo	103	1
150.244.199.158	ask	105	1
150.244.199.56	ask	107	1
150.244.199.119	google+bing	109	1
95.127.170.164	google	113	2
150.244.199.236	ask	114	2
150.244.199.103	ask	115	3
150.244.199.154	google	117	2
150.244.199.10	google	119	2
150.244.199.56	duckduckgo	120	1
150.244.199.162	duckduckgo	122	1
150.244.199.133	ask	124	11
150.244.199.163	ask	125	4
176.83.89.89	google	126	2
150.244.199.100	google+bing	129	6
37.10.149.120	duckduckgo	130	1
150.244.199.137	duckduckgo	131	2
150.244.199.72	google+bing	133	3
95.127.170.164	google	135	1
150.244.199.119	duckduckgo	136	2
150.244.199.99	google+bing	137	2
195.135.248.133	ask	138	2
150.244.199.158	google	139	2
150.244.199.158	google+bing	140	3
150.244.199.144	bing	141	1
176.83.89.89	google	144	2
176.83.89.89	google+bing	145	2
150.244.199.97	ask	147	5
150.244.199.154	google+bing	149	1
150.244.199.10	google	153	1
150.244.199.119	duckduckgo	155	1
95.127.170.164	duckduckgo	156	1
150.244.199.32	duckduckgo	162	2
150.244.199.56	google	167	2
150.244.199.56	google+bing	168	1
150.244.199.103	google+bing	169	3
150.244.199.137	ask	173	2
150.244.199.72	duckduckgo	174	3
150.244.199.162	ask	175	2
176.83.89.89	google+bing	176	2
150.244.199.158	google	177	4
150.244.199.239	duckduckgo	179	3
150.244.199.172	google	181	3
95.127.170.164	duckduckgo	182	1
150.244.199.121	google	183	2
176.83.89.89	google+bing	184	2
150.244.199.154	duckduckgo	185	2
150.244.199.182	google	186	2
150.244.199.10	bing	187	2
150.244.199.119	google	188	2
195.135.248.133	duckduckgo	191	1
150.244.199.192	google	192	2
150.244.199.72	google+bing	193	3
95.127.170.164	duckduckgo	194	1
150.244.199.236	ask	195	2
150.244.199.137	duckduckgo	196	2
95.127.170.164	google	199	1
150.244.199.56	duckduckgo	201	2
150.244.199.54	google+bing	202	8
176.83.89.89	duckduckgo	203	4
150.244.199.97	google	205	1
150.244.199.10	google	208	2
150.244.199.119	ask	209	3
150.244.199.163	ask	210	2
150.244.199.239	ask	212	1
150.244.199.144	duckduckgo	213	2
150.244.199.158	google+bing	215	2
150.244.199.236	ask	217	2
150.244.199.32	google	218	1
150.244.199.182	google+bing	219	2
95.127.170.164	google	221	1
150.244.199.97	ask	222	3
150.244.199.154	google+bing	225	4
150.244.199.162	google	226	4
176.83.89.89	google+bing	228	3
150.244.199.158	duckduckgo	229	1
195.135.248.133	duckduckgo	230	3
150.244.199.144	google	232	5
150.244.199.137	google+bing	234	2
150.244.199.236	ask	236	2
150.244.199.243	google	238	1
150.244.199.121	google	239	1
150.244.199.239	google+bing	240	2
150.244.199.72	ask	241	3
150.244.199.56	ask	242	1
150.244.199.103	google	243	2
150.244.199.10	duckduckgo	245	2
150.244.199.97	ask	246	1
150.244.199.192	google+bing	247	3
150.244.199.164	duckduckgo	248	1
150.244.199.99	ask	250	1
150.244.199.32	duckduckgo	252	1
95.127.170.164	google+bing	253	1
150.244.199.163	duckduckgo	255	2
150.244.199.119	duckduckgo	256	1
150.244.199.133	google	259	9
150.244.199.243	google	260	2
150.244.199.99	ask	262	1
150.244.199.239	ask	263	1
150.244.199.97	google	265	1
195.135.248.133	google	267	1
150.244.199.172	duckduckgo	268	3
150.244.199.10	ask	269	1
95.127.170.164	duckduckgo	270	1
150.244.199.119	duckduckgo	271	2
150.244.199.103	google+bing	272	1
150.244.199.56	duckduckgo	273	1
150.244.199.154	ask	277	3
150.244.199.10	duckduckgo	279	1
150.244.199.137	duckduckgo	280	2
150.244.199.72	google+bing	282	3
150.244.199.158	google	283	1
150.244.199.158	google+bing	284	4
150.244.199.97	ask	287	2
150.244.199.243	duckduckgo	289	1
150.244.199.10	duckduckgo	292	2
150.244.199.158	google+bing	295	6
150.244.199.192	duckduckgo	297	1
150.244.199.32	ask	299	1
150.244.199.121	duckduckgo	301	3
150.244.199.97	duckduckgo	302	4
150.244.199.137	google	303	2
150.244.199.103	google	304	1
150.244.199.182	duckduckgo	306	1
150.244.199.54	google	307	1
150.244.199.56	google+bing	308	1
150.244.199.119	google+bing	309	1
150.244.199.10	google	314	1
150.244.199.163	ask	315	5
150.244.199.239	google+bing	316	1
150.244.199.236	ask	317	2
150.244.199.56	google	320	1
195.135.248.133	google	323	3
150.244.199.10	google	325	1
150.244.199.54	google+bing	326	3
95.127.170.164	google	329	1
150.244.199.164	google	331	2
150.244.199.56	ask	332	1
176.83.89.89	google+bing	334	3
150.244.199.119	duckduckgo	336	1
150.244.199.192	duckduckgo	337	1
150.244.199.158	google+bing	340	5
95.127.170.164	google+bing	341	2
150.244.199.239	google+bing	342	1
150.244.199.236	google	343	1
150.244.199.137	ask	345	3
150.244.199.10	google	349	2
150.244.199.119	google+bing	350	3
150.244.199.182	ask	352	2
150.244.199.154	google+bing	353	2
150.244.199.162	google	354	1
150.244.199.158	google	355	5
150.244.199.103	google+bing	358	7
195.135.248.133	google+bing	359	5
150.244.199.172	google+bing	360	2
150.244.199.239	ask	361	1
150.244.199.10	duckduckgo	364	2
150.244.199.162	google+bing	365	1
150.244.199.192	ask	368	2
150.244.199.236	google	369	1
95.127.170.164	duckduckgo	370	2
176.83.89.89	google	371	2
150.244.199.97	google+bing	372	4
150.244.199.239	ask	373	4
150.244.199.133	google	374	5
150.244.199.72	duckduckgo	376	2
150.244.199.54	google	377	7
176.83.89.89	duckduckgo	378	5
150.244.199.243	ask	379	1
150.244.199.56	google+bing	381	1
150.244.199.236	ask	382	1
150.244.199.119	google	383	1
150.244.199.164	duckduckgo	385	1
150.244.199.162	google+bing	388	2
150.244.199.10	google+bing	390	1
150.244.199.72	google	391	2
150.244.199.72	google+bing	392	1
150.244.199.239	google+bing	394	1
150.244.199.10	google+bing	395	1
150.244.199.119	ask	397	1
150.244.199.192	ask	398	2
150.244.199.121	google	399	1
150.244.199.137	google	400	1
150.244.199.239	ask	407	1
195.135.248.133	duckduckgo	408	6
176.83.89.89	google+bing	409	2
150.244.199.158	ask	411	10
150.244.199.121	google	412	1
150.244.199.144	duckduckgo	414	2
150.244.199.56	google	415	1
150.244.199.119	google	416	1
150.244.199.10	duckduckgo	419	1
150.244.199.162	ask	420	1
150.244.199.99	google	421	1
176.83.89.89	google	422	2
150.244.199.103	google+bing	423	2
150.244.199.137	google	427	2
150.244.199.239	duckduckgo	428	1
150.244.199.163	ask	430	2
150.244.199.236	google	431	1
150.244.199.10	google+bing	436	1
150.244.199.54	duckduckgo	437	2
150.244.199.162	duckduckgo	438	3
150.244.199.172	google+bing	441	2
150.244.199.192	google	445	3
176.83.89.89	google	446	1
176.83.89.89	google+bing	447	1
150.244.199.182	google+bing	448	1
150.244.199.243	duckduckgo	451	1
176.83.89.89	google	453	1
176.83.89.89	google+bing	454	3
176.83.89.89	duckduckgo	457	1
150.244.199.192	duckduckgo	459	1
89.130.89.159	bing	1	0
150.244.199.72	bing	4	0
150.244.199.158	bing	8	0
150.244.199.158	bing	10	0
150.244.199.158	bing	15	0
150.244.199.182	bing	16	0
150.244.199.158	bing	19	0
150.244.199.32	google	21	0
150.244.199.32	ask	26	0
150.244.199.32	bing	29	0
150.244.199.32	bing	30	0
150.244.199.32	bing	31	0
150.244.199.158	bing	32	0
150.244.199.158	bing	33	0
150.244.199.32	google	34	0
150.244.199.158	duckduckgo	35	0
150.244.199.162	duckduckgo	37	0
150.244.199.158	bing	39	0
150.244.199.32	ask	40	0
