runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,nERR-IA@5,nERR-IA@10,nERR-IA@20,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,strec@5,strec@10,strec@20
bing,0,0.364964,0.284514,0.231627,0.364964,0.294571,0.294571,0.383566,0.248908,0.160637,0.383566,0.265820,0.265820,0.288000,0.332647,0.129630,0.400000,0.200000,0.100000,1.000000,1.000000,1.000000
bing,1,0.766423,0.635415,0.517300,0.766423,0.684771,0.684771,0.699215,0.519997,0.335589,0.699215,0.597612,0.597612,0.495954,0.595936,0.399306,0.600000,0.400000,0.200000,1.000000,1.000000,1.000000
bing,2,0.912409,0.794201,0.646570,0.912409,0.794201,0.731476,0.868795,0.700773,0.452256,0.868795,0.700773,0.594542,0.669672,0.708630,0.408791,0.800000,0.600000,0.300000,1.000000,1.000000,1.000000
bing,3,0.562044,0.624441,0.508366,0.562044,0.624441,0.575123,0.660840,0.716287,0.462269,0.660840,0.716287,0.607704,0.665782,0.704513,0.474695,0.800000,0.800000,0.400000,1.000000,1.000000,1.000000
bing,4,0.656934,0.584203,0.475607,0.656934,0.584203,0.566616,0.553146,0.488829,0.315474,0.553146,0.488829,0.460554,0.420398,0.459903,0.248485,0.400000,0.400000,0.200000,1.000000,1.000000,1.000000
bing,5,0.656934,0.550061,0.447812,0.656934,0.550061,0.550061,0.553146,0.425208,0.274416,0.553146,0.425208,0.425208,0.393554,0.440895,0.233333,0.400000,0.300000,0.150000,1.000000,1.000000,1.000000
bing,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
bing,7,0.744526,0.661022,0.538147,0.744526,0.661022,0.538147,0.684352,0.579783,0.374173,0.684352,0.579783,0.374173,0.517417,0.520490,0.158937,0.600000,0.500000,0.250000,1.000000,1.000000,1.000000
bing,8,0.087591,0.068283,0.055590,0.087591,0.087591,0.087591,0.131205,0.085143,0.054949,0.131205,0.131205,0.131205,0.081920,0.121847,0.040000,0.200000,0.100000,0.050000,1.000000,1.000000,1.000000
bing,9,0.109489,0.085354,0.069488,0.120000,0.120000,0.120000,0.146068,0.094788,0.061173,0.168128,0.168128,0.168128,0.102400,0.173442,0.062500,0.200000,0.100000,0.050000,1.000000,1.000000,1.000000
bing,10,1.000000,0.885246,0.720691,1.000000,0.885246,0.797419,1.000000,0.800694,0.516742,1.000000,0.800694,0.648329,0.790285,0.826641,0.500000,1.000000,0.700000,0.350000,1.000000,1.000000,1.000000
bing,11,0.218978,0.319062,0.259753,0.218978,0.319062,0.309458,0.213986,0.360056,0.232368,0.213986,0.360056,0.339230,0.319908,0.349970,0.160173,0.200000,0.400000,0.200000,1.000000,1.000000,1.000000
bing,12,0.766423,0.669557,0.545095,0.766423,0.669557,0.669557,0.699215,0.583618,0.376648,0.699215,0.583618,0.583618,0.522798,0.585685,0.369444,0.600000,0.500000,0.250000,1.000000,1.000000,1.000000
bing,13,0.197080,0.202412,0.164786,0.197080,0.218134,0.218134,0.277273,0.253295,0.163469,0.277273,0.291102,0.291102,0.236749,0.284476,0.134821,0.400000,0.300000,0.150000,1.000000,1.000000,1.000000
bing,14,0.890511,0.780924,0.635761,0.890511,0.780924,0.654429,0.853932,0.693761,0.447731,0.853932,0.693761,0.478961,0.655903,0.667936,0.287831,0.800000,0.600000,0.300000,1.000000,1.000000,1.000000
bing,15,0.255474,0.320011,0.260525,0.255474,0.320011,0.268175,0.315648,0.408073,0.263357,0.315648,0.408073,0.281727,0.343227,0.349523,0.122575,0.400000,0.500000,0.250000,1.000000,1.000000,1.000000
bing,16,0.890511,0.799892,0.651203,0.890511,0.799892,0.651203,0.853932,0.705905,0.455568,0.853932,0.705905,0.455568,0.687885,0.695908,0.274524,0.800000,0.600000,0.300000,1.000000,1.000000,1.000000
bing,17,0.912409,0.783363,0.637746,0.912409,0.783363,0.739378,0.868795,0.693663,0.447668,0.868795,0.693663,0.618862,0.650798,0.698821,0.429630,0.800000,0.600000,0.300000,1.000000,1.000000,1.000000
bing,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
bing,19,1.000000,0.962065,0.783230,1.000000,0.962065,0.819251,1.000000,0.933746,0.602609,1.000000,0.933746,0.668556,0.859071,0.878862,0.523529,1.000000,0.900000,0.450000,1.000000,1.000000,1.000000
bing,20,1.000000,0.908955,0.739993,1.000000,0.908955,0.750422,1.000000,0.857981,0.553713,1.000000,0.857981,0.572217,0.800246,0.811948,0.401107,1.000000,0.800000,0.400000,1.000000,1.000000,1.000000
bing,21,0.635036,0.600732,0.489064,0.635036,0.600732,0.600732,0.616434,0.551785,0.356104,0.616434,0.551785,0.551785,0.502285,0.562705,0.348095,0.600000,0.500000,0.250000,1.000000,1.000000,1.000000
bing,22,0.000000,0.137515,0.111953,0.000000,0.137515,0.137515,0.000000,0.214084,0.138163,0.000000,0.214084,0.214084,0.141033,0.157998,0.075000,0.000000,0.300000,0.150000,0.000000,1.000000,1.000000
bing,23,1.000000,1.000000,0.814113,1.000000,1.000000,0.838019,1.000000,1.000000,0.645367,1.000000,1.000000,0.690383,0.892626,0.909001,0.555556,1.000000,1.000000,0.500000,1.000000,1.000000,1.000000
bing,24,0.218978,0.219482,0.178684,0.218978,0.219482,0.219482,0.213986,0.212226,0.136964,0.213986,0.212226,0.212226,0.212429,0.237982,0.078571,0.200000,0.200000,0.100000,1.000000,1.000000,1.000000
bing,25,0.562044,0.567538,0.462041,0.562044,0.567538,0.522714,0.660840,0.637889,0.411673,0.660840,0.637889,0.541191,0.600246,0.635165,0.381441,0.800000,0.700000,0.350000,1.000000,1.000000,1.000000
bing,26,1.000000,0.927923,0.755435,1.000000,0.927923,0.790178,1.000000,0.870125,0.561550,1.000000,0.870125,0.623004,0.832228,0.851400,0.470588,1.000000,0.800000,0.400000,1.000000,1.000000,1.000000
bing,27,1.000000,1.000000,0.814113,1.000000,1.000000,0.851555,1.000000,1.000000,0.645367,1.000000,1.000000,0.715993,0.892626,0.913189,0.588235,1.000000,1.000000,0.500000,1.000000,1.000000,1.000000
bing,28,0.656934,0.649641,0.528881,0.656934,0.649641,0.630084,0.553146,0.573038,0.369820,0.553146,0.573038,0.539892,0.501033,0.548116,0.323232,0.400000,0.500000,0.250000,1.000000,1.000000,1.000000
bing,amean,0.588472,0.552476,0.449778,0.588835,0.556928,0.504002,0.579570,0.524471,0.338476,0.580330,0.533151,0.436265,0.485396,0.518056,0.282070,0.565517,0.493103,0.246552,0.896552,0.931034,0.931034
