runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,nERR-IA@5,nERR-IA@10,nERR-IA@20,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,strec@5,strec@10,strec@20
duckduckgo,0,0.343066,0.324346,0.264055,0.343066,0.335811,0.335811,0.446854,0.368376,0.237738,0.446854,0.393404,0.393404,0.377856,0.436433,0.233333,0.600000,0.400000,0.200000,1.000000,1.000000,1.000000
duckduckgo,1,0.693431,0.540577,0.440091,0.693431,0.582567,0.582567,0.654809,0.424926,0.274233,0.654809,0.488351,0.488351,0.430400,0.517166,0.302083,0.600000,0.300000,0.150000,1.000000,1.000000,1.000000
duckduckgo,2,1.000000,0.913291,0.743522,1.000000,0.913291,0.841160,1.000000,0.860382,0.555262,1.000000,0.860382,0.729955,0.806643,0.853568,0.590385,1.000000,0.800000,0.400000,1.000000,1.000000,1.000000
duckduckgo,3,0.416058,0.430023,0.350088,0.416058,0.430023,0.396060,0.491260,0.470556,0.303682,0.491260,0.470556,0.399224,0.462285,0.489178,0.229304,0.600000,0.500000,0.250000,1.000000,1.000000,1.000000
duckduckgo,4,0.890511,0.728357,0.592965,0.890511,0.728357,0.706430,0.853932,0.617764,0.398685,0.853932,0.617764,0.582031,0.596764,0.652842,0.390909,0.800000,0.500000,0.250000,1.000000,1.000000,1.000000
duckduckgo,5,0.766423,0.654383,0.532742,0.766423,0.654383,0.654383,0.699215,0.532141,0.343426,0.699215,0.532141,0.532141,0.527936,0.591442,0.341667,0.600000,0.400000,0.200000,1.000000,1.000000,1.000000
duckduckgo,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
duckduckgo,7,1.000000,0.962065,0.783230,1.000000,0.962065,0.783230,1.000000,0.933746,0.602609,1.000000,0.933746,0.602609,0.859071,0.864173,0.386957,1.000000,0.900000,0.450000,1.000000,1.000000,1.000000
duckduckgo,8,0.437956,0.341417,0.277952,0.437956,0.437956,0.437956,0.339160,0.220092,0.142040,0.339160,0.339160,0.339160,0.200000,0.297477,0.200000,0.200000,0.100000,0.050000,1.000000,1.000000,1.000000
duckduckgo,9,0.145985,0.113806,0.092651,0.160000,0.160000,0.160000,0.169580,0.110046,0.071020,0.195190,0.195190,0.195190,0.128000,0.216802,0.083333,0.200000,0.100000,0.050000,1.000000,1.000000,1.000000
duckduckgo,10,1.000000,0.927923,0.755435,1.000000,0.927923,0.835862,1.000000,0.870125,0.561550,1.000000,0.870125,0.704548,0.832228,0.870513,0.571429,1.000000,0.800000,0.400000,1.000000,1.000000,1.000000
duckduckgo,11,0.525547,0.466603,0.379868,0.525547,0.466603,0.452557,0.470365,0.383633,0.247584,0.470365,0.383633,0.361443,0.347456,0.380107,0.172727,0.400000,0.300000,0.150000,1.000000,1.000000,1.000000
duckduckgo,12,0.693431,0.674299,0.548956,0.693431,0.674299,0.674299,0.654809,0.636376,0.410696,0.654809,0.636376,0.636376,0.564723,0.632653,0.430833,0.600000,0.600000,0.300000,1.000000,1.000000,1.000000
duckduckgo,13,0.145985,0.194418,0.158278,0.145985,0.209520,0.209520,0.169580,0.245731,0.158587,0.169580,0.282409,0.282409,0.203497,0.244521,0.114583,0.200000,0.300000,0.150000,1.000000,1.000000,1.000000
duckduckgo,14,0.343066,0.439100,0.357478,0.343066,0.439100,0.367975,0.446854,0.567682,0.366363,0.446854,0.567682,0.391918,0.480197,0.489006,0.227315,0.600000,0.700000,0.350000,1.000000,1.000000,1.000000
duckduckgo,15,0.474453,0.450481,0.366743,0.474453,0.450481,0.377512,0.529635,0.479382,0.309378,0.529635,0.479382,0.330957,0.465897,0.474444,0.165123,0.600000,0.500000,0.250000,1.000000,1.000000,1.000000
