runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,nERR-IA@5,nERR-IA@10,nERR-IA@20,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,strec@5,strec@10,strec@20
ecosia,0,0.000000,0.056903,0.046325,0.000000,0.058914,0.058914,0.000000,0.078398,0.050596,0.000000,0.083725,0.083725,0.065536,0.075696,0.018519,0.000000,0.100000,0.050000,0.000000,1.000000,1.000000
ecosia,1,0.802920,0.663867,0.540463,0.802920,0.715433,0.715433,0.722727,0.535254,0.345436,0.722727,0.615146,0.615146,0.521554,0.626697,0.430556,0.600000,0.400000,0.200000,1.000000,1.000000,1.000000
ecosia,2,0.912409,0.802737,0.653519,0.912409,0.802737,0.739337,0.868795,0.706584,0.456006,0.868795,0.706584,0.599472,0.684772,0.724608,0.420330,0.800000,0.600000,0.300000,1.000000,1.000000,1.000000
ecosia,3,0.474453,0.518222,0.421892,0.474453,0.518222,0.477293,0.529635,0.564890,0.364562,0.529635,0.564890,0.479258,0.550308,0.582321,0.311355,0.600000,0.600000,0.300000,1.000000,1.000000,1.000000
ecosia,4,0.802920,0.668609,0.544323,0.802920,0.668609,0.648481,0.722727,0.538431,0.347486,0.722727,0.538431,0.507287,0.529943,0.579743,0.318182,0.600000,0.400000,0.200000,1.000000,1.000000,1.000000
ecosia,5,0.766423,0.646254,0.526124,0.766423,0.646254,0.646254,0.699215,0.527106,0.340177,0.699215,0.527106,0.527106,0.514829,0.576758,0.332143,0.600000,0.400000,0.200000,1.000000,1.000000,1.000000
ecosia,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ecosia,7,0.306569,0.311069,0.253245,0.306569,0.311069,0.253245,0.345191,0.353881,0.228383,0.345191,0.353881,0.228383,0.302318,0.304113,0.071014,0.400000,0.400000,0.200000,1.000000,1.000000,1.000000
ecosia,8,0.437956,0.341417,0.277952,0.437956,0.437956,0.437956,0.339160,0.220092,0.142040,0.339160,0.339160,0.339160,0.200000,0.297477,0.200000,0.200000,0.100000,0.050000,1.000000,1.000000,1.000000
ecosia,9,0.109489,0.085354,0.069488,0.120000,0.120000,0.120000,0.146068,0.094788,0.061173,0.168128,0.168128,0.168128,0.102400,0.173442,0.062500,0.200000,0.100000,0.050000,1.000000,1.000000,1.000000
ecosia,10,1.000000,0.962065,0.783230,1.000000,0.962065,0.866616,1.000000,0.933746,0.602609,1.000000,0.933746,0.756062,0.859071,0.898592,0.635714,1.000000,0.900000,0.450000,1.000000,1.000000,1.000000
ecosia,11,0.218978,0.348462,0.283688,0.218978,0.348462,0.337972,0.213986,0.420500,0.271377,0.213986,0.420500,0.396177,0.338363,0.370159,0.200577,0.200000,0.500000,0.250000,1.000000,1.000000,1.000000
ecosia,12,0.766423,0.775234,0.631128,0.766423,0.775234,0.775234,0.699215,0.735380,0.474590,0.699215,0.735380,0.735380,0.640763,0.717840,0.549762,0.600000,0.700000,0.350000,1.000000,1.000000,1.000000
ecosia,13,0.343066,0.316217,0.257437,0.343066,0.340780,0.340780,0.446854,0.363341,0.234489,0.446854,0.417574,0.417574,0.364749,0.438280,0.250595,0.600000,0.400000,0.200000,1.000000,1.000000,1.000000
ecosia,14,1.000000,0.957323,0.779369,1.000000,0.957323,0.802255,1.000000,0.930569,0.600559,1.000000,0.930569,0.642448,0.850683,0.866288,0.488272,1.000000,0.900000,0.450000,1.000000,1.000000,1.000000
ecosia,15,0.255474,0.256063,0.208464,0.255474,0.256063,0.214586,0.315648,0.283233,0.182789,0.315648,0.283233,0.195539,0.295936,0.301365,0.074074,0.400000,0.300000,0.150000,1.000000,1.000000,1.000000
ecosia,16,1.000000,0.965858,0.786318,1.000000,0.965858,0.786318,1.000000,0.936379,0.604309,1.000000,0.936379,0.604309,0.865782,0.875880,0.450000,1.000000,0.900000,0.450000,1.000000,1.000000,1.000000
ecosia,17,0.890511,0.774827,0.630797,0.890511,0.774827,0.731321,0.853932,0.689829,0.445193,0.853932,0.689829,0.615440,0.645417,0.693043,0.424306,0.800000,0.600000,0.300000,1.000000,1.000000,1.000000
ecosia,18,0.000000,0.037935,0.030884,0.000000,0.040882,0.040882,0.000000,0.066254,0.042758,0.000000,0.076143,0.076143,0.033554,0.040319,0.013889,0.000000,0.100000,0.050000,0.000000,1.000000,1.000000
ecosia,19,1.000000,0.943097,0.767788,1.000000,0.943097,0.803099,1.000000,0.921602,0.594772,1.000000,0.921602,0.659861,0.827090,0.846143,0.501237,1.000000,0.900000,0.450000,1.000000,1.000000,1.000000
ecosia,20,1.000000,0.871020,0.709109,1.000000,0.871020,0.719103,1.000000,0.791727,0.510955,1.000000,0.791727,0.528030,0.766692,0.777903,0.354323,1.000000,0.700000,0.350000,1.000000,1.000000,1.000000
ecosia,21,0.547445,0.532448,0.433473,0.547445,0.532448,0.532448,0.485229,0.466642,0.301156,0.485229,0.466642,0.466642,0.420365,0.470931,0.257143,0.400000,0.400000,0.200000,1.000000,1.000000,1.000000
