runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,nERR-IA@5,nERR-IA@10,nERR-IA@20,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,strec@5,strec@10,strec@20
google,0,0.437956,0.428126,0.348543,0.437956,0.443260,0.443260,0.339160,0.359710,0.232145,0.339160,0.384150,0.384150,0.285983,0.330318,0.179894,0.200000,0.300000,0.150000,1.000000,1.000000,1.000000
google,1,1.000000,0.860182,0.700285,1.000000,0.926997,0.926997,1.000000,0.784617,0.506366,1.000000,0.901729,0.901729,0.747817,0.898573,0.815972,1.000000,0.700000,0.350000,1.000000,1.000000,1.000000
google,2,1.000000,0.957323,0.779369,1.000000,0.957323,0.881714,1.000000,0.930569,0.600559,1.000000,0.930569,0.789503,0.850683,0.900170,0.676068,1.000000,0.900000,0.450000,1.000000,1.000000,1.000000
google,3,0.218978,0.170709,0.138976,0.218978,0.170709,0.157226,0.213986,0.138862,0.089617,0.213986,0.138862,0.117812,0.160000,0.169308,0.038462,0.200000,0.100000,0.050000,1.000000,1.000000,1.000000
google,4,1.000000,0.836472,0.680983,1.000000,0.836472,0.811291,1.000000,0.727330,0.469395,1.000000,0.727330,0.685260,0.737856,0.807193,0.545455,1.000000,0.600000,0.300000,1.000000,1.000000,1.000000
google,5,0.912409,0.711286,0.579067,0.912409,0.711286,0.711286,0.868795,0.563788,0.363851,0.868795,0.563788,0.563788,0.590400,0.661419,0.400000,0.800000,0.400000,0.200000,1.000000,1.000000,1.000000
google,6,0.437956,0.341417,0.277952,1.000000,1.000000,1.000000,0.339160,0.220092,0.142040,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,0.200000,0.100000,0.050000,1.000000,1.000000,1.000000
google,7,0.890511,0.914646,0.744625,0.890511,0.914646,0.744625,0.853932,0.905212,0.584194,0.853932,0.905212,0.584194,0.790226,0.794918,0.354538,0.800000,0.900000,0.450000,1.000000,1.000000,1.000000
google,8,0.744526,0.657228,0.535058,0.744526,0.843066,0.843066,0.684352,0.577149,0.372473,0.684352,0.889384,0.889384,0.510707,0.759618,0.720000,0.600000,0.500000,0.250000,1.000000,1.000000,1.000000
google,9,0.693431,0.540577,0.440091,0.760000,0.760000,0.760000,0.654809,0.424926,0.274233,0.753698,0.753698,0.753698,0.430400,0.728997,0.604167,0.600000,0.300000,0.150000,1.000000,1.000000,1.000000
google,10,0.890511,0.823601,0.670505,0.890511,0.823601,0.741890,0.853932,0.763193,0.492540,0.853932,0.763193,0.617964,0.697846,0.729950,0.431576,0.800000,0.700000,0.350000,1.000000,1.000000,1.000000
google,11,0.802920,0.803685,0.654291,0.802920,0.803685,0.779491,0.722727,0.750637,0.484437,0.722727,0.750637,0.707219,0.666363,0.728982,0.522511,0.600000,0.700000,0.350000,1.000000,1.000000,1.000000
google,12,1.000000,0.885246,0.720691,1.000000,0.885246,0.885246,1.000000,0.800694,0.516742,1.000000,0.800694,0.800694,0.790285,0.885348,0.700000,1.000000,0.700000,0.350000,1.000000,1.000000,1.000000
google,13,0.766423,0.678092,0.552044,0.766423,0.730764,0.730764,0.699215,0.589428,0.380398,0.699215,0.677406,0.677406,0.537897,0.646334,0.475694,0.600000,0.500000,0.250000,1.000000,1.000000,1.000000
google,14,1.000000,0.962065,0.783230,1.000000,0.962065,0.806229,1.000000,0.933746,0.602609,1.000000,0.933746,0.644642,0.859071,0.874831,0.494444,1.000000,0.900000,0.450000,1.000000,1.000000,1.000000
google,15,0.854015,0.886194,0.721463,0.854015,0.886194,0.742648,0.830420,0.889954,0.574347,0.830420,0.889954,0.614409,0.764626,0.778653,0.439131,0.800000,0.900000,0.450000,1.000000,1.000000,1.000000
google,16,1.000000,0.965858,0.786318,1.000000,0.965858,0.786318,1.000000,0.936379,0.604309,1.000000,0.936379,0.604309,0.865782,0.875880,0.450000,1.000000,0.900000,0.450000,1.000000,1.000000,1.000000
google,17,0.912409,0.711286,0.579067,0.912409,0.711286,0.671348,0.868795,0.563788,0.363851,0.868795,0.563788,0.502992,0.590400,0.633966,0.333333,0.800000,0.400000,0.200000,1.000000,1.000000,1.000000
google,18,0.109489,0.142257,0.115813,0.109489,0.153307,0.153307,0.146068,0.173187,0.111769,0.146068,0.199037,0.199037,0.167936,0.201791,0.072917,0.200000,0.200000,0.100000,1.000000,1.000000,1.000000
google,19,0.890511,0.914646,0.744625,0.890511,0.914646,0.778871,0.853932,0.905212,0.584194,0.853932,0.905212,0.648126,0.790226,0.808430,0.479669,0.800000,0.900000,0.450000,1.000000,1.000000,1.000000
google,20,1.000000,0.965858,0.786318,1.000000,0.965858,0.797400,1.000000,0.936379,0.604309,1.000000,0.936379,0.624504,0.865782,0.878442,0.473684,1.000000,0.900000,0.450000,1.000000,1.000000,1.000000
google,21,0.416058,0.502100,0.408766,0.416058,0.502100,0.502100,0.491260,0.600431,0.387499,0.491260,0.600431,0.600431,0.522683,0.585556,0.434762,0.600000,0.700000,0.350000,1.000000,1.000000,1.000000
google,22,0.635036,0.634873,0.516859,0.635036,0.634873,0.634873,0.616434,0.615406,0.397163,0.616434,0.615406,0.615406,0.529128,0.592777,0.408095,0.600000,0.600000,0.300000,1.000000,1.000000,1.000000
google,23,1.000000,0.927923,0.755435,1.000000,0.927923,0.777617,1.000000,0.870125,0.561550,1.000000,0.870125,0.600719,0.832228,0.847495,0.444444,1.000000,0.800000,0.400000,1.000000,1.000000,1.000000
google,24,0.562044,0.480829,0.391449,0.562044,0.480829,0.480829,0.660840,0.498271,0.321568,0.660840,0.498271,0.498271,0.514263,0.576124,0.334167,0.800000,0.500000,0.250000,1.000000,1.000000,1.000000
google,25,0.890511,0.880504,0.716830,0.890511,0.880504,0.810962,0.853932,0.841591,0.543135,0.853932,0.841591,0.714013,0.763382,0.807791,0.558028,0.800000,0.800000,0.400000,1.000000,1.000000,1.000000
google,26,1.000000,0.951226,0.774406,1.000000,0.951226,0.810021,1.000000,0.926636,0.598021,1.000000,0.926636,0.663465,0.840197,0.859552,0.509641,1.000000,0.900000,0.450000,1.000000,1.000000,1.000000
google,27,1.000000,0.927923,0.755435,1.000000,0.927923,0.790178,1.000000,0.870125,0.561550,1.000000,0.870125,0.623004,0.832228,0.851400,0.470588,1.000000,0.800000,0.400000,1.000000,1.000000,1.000000
google,28,1.000000,0.923181,0.751574,1.000000,0.923181,0.895390,1.000000,0.866948,0.559500,1.000000,0.866948,0.816802,0.823839,0.901257,0.717172,1.000000,0.800000,0.400000,1.000000,1.000000,1.000000
google,amean,0.795369,0.737425,0.600347,0.817045,0.779132,0.719136,0.777646,0.688427,0.444288,0.803844,0.746230,0.635963,0.639939,0.728106,0.485669,0.751724,0.634483,0.317241,1.000000,1.000000,1.000000
