runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,nERR-IA@5,nERR-IA@10,nERR-IA@20,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,strec@5,strec@10,strec@20
duckduckgo,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.250000,0.250000,0.233333,0.600000,0.400000,0.200000,1.000000,1.000000,1.000000
duckduckgo,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.302083,0.600000,0.300000,0.150000,1.000000,1.000000,1.000000
duckduckgo,2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.590385,1.000000,0.800000,0.400000,1.000000,1.000000,1.000000
duckduckgo,3,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.630930,0.630930,0.630930,0.630930,0.630930,0.630930,0.500000,0.500000,0.229304,0.600000,0.500000,0.250000,1.000000,1.000000,1.000000
duckduckgo,4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.390909,0.800000,0.500000,0.250000,1.000000,1.000000,1.000000
duckduckgo,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.341667,0.600000,0.400000,0.200000,1.000000,1.000000,1.000000
duckduckgo,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
duckduckgo,7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.386957,1.000000,0.900000,0.450000,1.000000,1.000000,1.000000
duckduckgo,8,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.200000,0.200000,0.100000,0.050000,1.000000,1.000000,1.000000
duckduckgo,9,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.250000,0.250000,0.083333,0.200000,0.100000,0.050000,1.000000,1.000000,1.000000
duckduckgo,10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.571429,1.000000,0.800000,0.400000,1.000000,1.000000,1.000000
duckduckgo,11,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.172727,0.400000,0.300000,0.150000,1.000000,1.000000,1.000000
duckduckgo,12,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.430833,0.600000,0.600000,0.300000,1.000000,1.000000,1.000000
duckduckgo,13,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.250000,0.250000,0.114583,0.200000,0.300000,0.150000,1.000000,1.000000,1.000000
duckduckgo,14,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.250000,0.250000,0.227315,0.600000,0.700000,0.350000,1.000000,1.000000,1.000000
duckduckgo,15,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.630930,0.630930,0.630930,0.630930,0.630930,0.630930,0.500000,0.500000,0.165123,0.600000,0.500000,0.250000,1.000000,1.000000,1.000000
duckduckgo,16,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.630930,0.630930,0.630930,0.630930,0.630930,0.630930,0.500000,0.500000,0.264107,0.800000,0.700000,0.350000,1.000000,1.000000,1.000000
duckduckgo,17,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.430677,0.430677,0.430677,0.430677,0.430677,0.430677,0.125000,0.125000,0.081944,0.400000,0.300000,0.150000,1.000000,1.000000,1.000000
duckduckgo,18,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.524554,0.600000,0.500000,0.250000,1.000000,1.000000,1.000000
duckduckgo,19,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.470588,1.000000,0.800000,0.400000,1.000000,1.000000,1.000000
