runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,nERR-IA@5,nERR-IA@10,nERR-IA@20,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,strec@5,strec@10,strec@20
ecosia,0,0.000000,0.166667,0.166667,0.000000,0.166667,0.166667,0.000000,0.356207,0.356207,0.000000,0.356207,0.356207,0.031250,0.031250,0.018519,0.000000,0.100000,0.050000,0.000000,1.000000,1.000000
ecosia,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.430556,0.600000,0.400000,0.200000,1.000000,1.000000,1.000000
ecosia,2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.420330,0.800000,0.600000,0.300000,1.000000,1.000000,1.000000
ecosia,3,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.630930,0.630930,0.630930,0.630930,0.630930,0.630930,0.500000,0.500000,0.311355,0.600000,0.600000,0.300000,1.000000,1.000000,1.000000
ecosia,4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.318182,0.600000,0.400000,0.200000,1.000000,1.000000,1.000000
ecosia,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.332143,0.600000,0.400000,0.200000,1.000000,1.000000,1.000000
ecosia,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ecosia,7,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.630930,0.630930,0.630930,0.630930,0.630930,0.630930,0.500000,0.500000,0.071014,0.400000,0.400000,0.200000,1.000000,1.000000,1.000000
ecosia,8,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.200000,0.200000,0.100000,0.050000,1.000000,1.000000,1.000000
ecosia,9,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,0.430677,0.430677,0.430677,0.430677,0.430677,0.430677,0.125000,0.125000,0.062500,0.200000,0.100000,0.050000,1.000000,1.000000,1.000000
