item	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	20	21	22	23	24	25	26	27	28	29	30
1	4	3	4			3		3		4					4	3		3			4		5					4	3
2		3			2	3	3		2	5	3	3	1	3	4	5		2	2	3	4	2	4	3	2	1		4	4
3	4	3.5				3	3	2		4	3	2	1		3					3	3	3	4		2	1	4	3	3
4	4	2.5	3			2.5		2						5	4	4		3.5			1		3			2			2
5		3.5			3	3	3	4	1				1	3				3			2	2	4		3	2			2
6	5	5	4.5			2	5	4	5			4	3	5	5		5	5			4	4	4		3	5		5	
7							5	4	5		3	4	3		5		5	5			2.5	4			4			4	5
8	5	5	4	1		4		3	3	5	5		5	4	5				4	5	1	4	5		4	1	3	3	
9	5	5	4	2			4	2			4	2	4	2	5	2	4	4	3	3	3	3	5			1		4	5
10	4	3.5	4.5		4	5		3.5					5	3	5	1			5			4	5	5	4	1	4	3	
11	3		3.5			5	4	2.5			3.5	5	5	2	4	3	4	5		2			4	4		3.5		3	
12	4	3.5	3	3			3.5	1.5		3	3.5	3		2	5	4		4	4	4		3	4	2	4	1	4	3	
13	4	3						1						2	3		4	3	3	3	2	4	3		2	2		1	1
14	3							3						2	3	4							3	4	2				
15	4	4	3.5			5		3.5		4		2	5					4.5	4	5			5	4	4	1	4	3	4
16	4						4.5	2				3		5	5			4		4			4			1.5		4	5
17	4		4			3	4	2			3	4	5	4		2	4.5				3	3	5					4	
18	4	5									1			4	4			2			2		2		2	1	3		1
19														3		1		4					3			1			3
20	4	2.5				1		3			3.5	3	2	2				4					3			4	4		2
21		5	4.5			3		3	5	4	3.5	5				4	5	5	4		3	5	5	4	4		4	5	5
22	4						4	3.5						4		5		5		3					4	4			
23												4				4							4						1
24	5	5			4.5	2	3.5	4				5	3	4	2	3		4	4	4			5	4	5	3		5	3
25								4		3			1	4		4		3.5	3		4		3			5			1
26						2	2.5	1						2	3	2		3					4			1			
27	4	5					4	3	4	4		3		5		1		5		4	2	3	5			5			5
28												5		3		2		3.5					3						
29	4					1			3	4	4		1	2	3	3		3.5	4	3	2						1	4	2
30	5				3.5	2	3.5						2	2	5			4				4	5		4				
31	5						3				2	4	2	2		5							4						1
32	4						4							3				3.5					2			5			3
33	4	5	3.5	4	2.5	3.5	4	2	2		4	1	5		5	5				4	3.5	5		2	4	2	4	5	4
34	4	4					4											4.5											
35	5					2	4	4	5		3	4	4		5	2			5	5	4		5		5	4	4	4	2
36	5	5		5	3.5	3.5	4.5	2	4	5	4	5		3	5	3	5	5	5	4	3	5	5	5	4			5	5
37	4	2												4	5	1		3					2			1			4
38	4	5			3	3	4.5	2	5		3.5	3	4	4	5	5				4	4.5	5	5		4	3	5	5	5
39	4		4.5			3.5		3		5	3.5	5	4	4	5	3		5		4			4		5	3	4	5	
40	4	4.5							3	5			5	3	5	2		5	4.5	3	3.5		5	3	5		3		3
41	4	5				5	5	4.5	5	3	4.5			3	5	5		3.5	1.5	4			4					5	4
42		5			4		4							3	3			3.5			3		3					2	4
43	4						3.5								4			5		4			3			4.5			
44	4			5				3		3.5	4.5	5	2	4	1	4	3	3.5	2.5	4	4	3	5		2	4	3	3	3
45	4	2.5		4			3	2	2	3.5	4.5	5	2	4	4	3	3	4	3.5	5	2.5		4		3	2		2	2
46									2			2		5												5			
47		5												2	5											5			
48		5						3		4								4					5		5	3			3
49		1.5				1			1			3									1.5				2	1		5	3
50	3													1									3			4			
51	5	5		5	3.5	4		4		4				5	2			4	3.5				2			3		5	
52														3					1.5						3				
53		3.5			4		4	4	3	5		5		4	3				4.5	3			2	4	5	4			
54									1					4									3		2				
55		5		5		3	3.5	2	5		4	5	4	3	3	2	3	3.5	2.5	4	3	4	4	2	3	5	1	4	4
56			4.5			4.5	4		5	5			4		4	3		4	3				5			2		5	5
57	3	4						2		3.5		3	3	2	4	2		4	1.5	4		4		2		2		4	1
58	5	5		4	4.5		5	4			5	5		5	5			5	5	3	2	5	5	5	4	1	3	5	5
59	3	2.5			2.5	3		3		3.5			2	5	4				2		1.5				2	3	1	3	2
60	3	4.5			3.5	1	3	3.5		4	3		4	3	4			4				3	5		5	1	4	2	4
